lng,lat,type,line,name
2.099720795,41.36366931,METRO,L1,RAMBLA JUST OLIVERAS
2.100304456,41.3629869,METRO,L1,RAMBLA JUST OLIVERAS
2.100306785,41.36424123,METRO,L1,RAMBLA JUST OLIVERAS
2.100571384,41.36370404,METRO,L1,RAMBLA JUST OLIVERAS
2.102671936,41.35741393,METRO,L1,AVINGUDA CARRILET
2.102668376,41.35930846,METRO,L1,AVINGUDA CARRILET
2.10303192,41.35878888,METRO,L1,AVINGUDA CARRILET
2.103237123,41.36765655,METRO,L1,CAN SERRA
2.103661631,41.36829808,METRO,L1,CAN SERRA
2.103933466,41.36819296,METRO,L1,CAN SERRA
2.106411517,41.34472942,METRO,L1,HOSPITAL DE BELLVITGE
2.106696289,41.34434806,METRO,L1,HOSPITAL DE BELLVITGE
2.109900444,41.35153623,METRO,L1,BELLVITGE
2.110590536,41.35040613,METRO,L1,BELLVITGE
2.110398383,41.36788261,METRO,L1,FLORIDA
2.110688422,41.35124507,METRO,L1,BELLVITGE
2.110683329,41.3685303,METRO,L1,FLORIDA
2.110978907,41.35200091,METRO,L1,BELLVITGE
2.110877603,41.36838558,METRO,L1,FLORIDA
2.111767512,41.35092587,METRO,L1,BELLVITGE
2.116492506,41.36875141,METRO,L1,TORRASSA
2.117110678,41.36860394,METRO,L1,TORRASSA
2.11727265,41.36816319,METRO,L1,TORRASSA
2.128700249,41.36845238,METRO,L1,SANTA EULÀLIA
2.129177891,41.36913663,METRO,L1,SANTA EULÀLIA
2.129978979,41.36956635,METRO,L1,SANTA EULÀLIA
2.133192408,41.37330269,METRO,L1,MERCAT NOU (C. d'Antoni de Capmany)
2.133649999,41.37296285,METRO,L1,MERCAT NOU (C. de la Riera de Tena)
2.13403377,41.37355258,METRO,L1,MERCAT NOU
2.134549019,41.37418155,METRO,L1,MERCAT NOU (C. dels Jocs Florals)
2.137303763,41.37557992,METRO,L1,PLAÇA DE SANTS (C. de Sants)
2.137495774,41.37525966,METRO,L1,PLAÇA DE SANTS (C. de Sants)
2.138495929,41.37555171,METRO,L1,PLAÇA DE SANTS
2.138803533,41.37522605,METRO,L1,PLAÇA DE SANTS (C. de Sants)
2.138847324,41.37547715,METRO,L1,PLAÇA DE SANTS (C. de Sants)
2.142364373,41.37514345,METRO,L1,HOSTAFRANCS (C. del Moianès)
2.14344717,41.37556193,METRO,L1,HOSTAFRANCS (C. del Consell de Cent)
2.143993686,41.37530103,METRO,L1,HOSTAFRANCS
2.14452535,41.37536559,METRO,L1,HOSTAFRANCS (C. de la Creu Coberta)
2.148311991,41.37535311,METRO,L1,ESPANYA (C. de la Creu Coberta)
2.148803159,41.37538915,METRO,L1,ESPANYA
2.149457896,41.37555513,METRO,L1,ESPANYA (C. de Tarragona)
2.153968152,41.37907964,METRO,L1,ROCAFORT (C. de Rocafort)
2.154408239,41.37869462,METRO,L1,ROCAFORT (C. de Rocafort)
2.154458829,41.37915867,METRO,L1,ROCAFORT
2.15491515,41.37966543,METRO,L1,ROCAFORT (Gv. Corts Catalanes)
2.155172915,41.37947033,METRO,L1,ROCAFORT (Gv. Corts Catalanes)
2.158239547,41.38206524,METRO,L1,URGELL (Gv. Corts Catalanes)
2.159000556,41.38246663,METRO,L1,URGELL
2.159451896,41.38296435,METRO,L1,URGELL (Gv. Corts Catalanes)
2.159851767,41.38267712,METRO,L1,URGELL (C. de Villarroel)
2.16347712,41.38541229,METRO,L1,UNIVERSITAT (Pl. de la Universitat)
2.164165295,41.38556032,METRO,L1,UNIVERSITAT
2.164573138,41.38615413,METRO,L1,UNIVERSITAT (Rda. de la Universitat)
2.164721868,41.38582388,METRO,L1,UNIVERSITAT (C. de Pelai)
2.16850964,41.38771525,METRO,L1,CATALUNYA (Rambla de Catalunya)
2.168590856,41.38720977,METRO,L1,CATALUNYA (Rda. Universitat)
2.16949435,41.3875795,METRO,L1,CATALUNYA (Pl. de Catalunya)
2.169509919,41.38763433,METRO,L1,CATALUNYA
2.169599853,41.38812088,METRO,L1,CATALUNYA (Pg. de Gràcia)
2.170689943,41.38792375,METRO,L1,CATALUNYA (Rda. de Sant Pere)
2.173092689,41.38952927,METRO,L1,URQUINAONA
2.173374382,41.38941091,METRO,L1,URQUINAONA (Pl. d'Urquinaona)
2.174006246,41.38911798,METRO,L1,URQUINAONA (C. Jonqueres)
2.175021341,41.39003092,METRO,L1,URQUINAONA (C. Bruc)
2.180063902,41.3923961,METRO,L1,ARC DE TRIOMF
2.180383585,41.39167299,METRO,L1,ARC DE TRIOMF (Avda. de Vilanova)
2.182220991,41.39323725,METRO,L1,ARC DE TRIOMF (C. de Nàpols)
2.183326561,41.4304684,METRO,L1,FABRA I PUIG
2.183466347,41.43114779,METRO,L1,FABRA I PUIG (Av. Meridiana)
2.183564113,41.43087012,METRO,L1,FABRA I PUIG (Av. Meridiana)
2.183586581,41.43010285,METRO,L1,FABRA I PUIG (Pg. de Fabra i Puig)
2.183630555,41.43047616,METRO,L1,FABRA I PUIG (Pg. de Fabra i Puig)
2.184199044,41.42900253,METRO,L1,FABRA I PUIG (C. de Concepción Arenal)
2.186430145,41.39558906,METRO,L1,MARINA (Av. Meridiana)
2.186844745,41.39558334,METRO,L1,MARINA
2.187074649,41.39543101,METRO,L1,MARINA (C. dels Almogàvers)
2.187100997,41.40207234,METRO,L1,GLÒRIES (Av. Meridiana)
2.187150202,41.40925122,METRO,L1,CLOT (C. Aragó)
2.187240813,41.40289095,METRO,L1,GLÒRIES (Pl. de les Glòries Catalanes)
2.187088377,41.4161651,METRO,L1,NAVAS
2.187204236,41.41083767,METRO,L1,CLOT (C. de València)
2.187231701,41.4158216,METRO,L1,NAVAS (C. de Palència)
2.187346864,41.40865194,METRO,L1,CLOT (Aragó Meridiana)
2.187200971,41.42250113,METRO,L1,LA SAGRERA
2.187229161,41.42198994,METRO,L1,LA SAGRERA (Av. Meridiana)
2.18729643,41.41672999,METRO,L1,NAVAS (Av. Meridiana)
2.187515222,41.40270791,METRO,L1,GLÒRIES
2.187274606,41.42309884,METRO,L1,LA SAGRERA (C. de Garcilaso)
2.187533054,41.41122718,METRO,L1,CLOT
2.188342803,41.40299335,METRO,L1,GLÒRIES (C. d'Àlaba)
2.190340194,41.44416353,METRO,L1,TORRAS I BAGES (Pg. de Torras i Bages)
2.19050326,41.44230762,METRO,L1,TORRAS I BAGES (C. de Palomar)
2.190667804,41.44381639,METRO,L1,TORRAS I BAGES
2.190749819,41.43733383,METRO,L1,SANT ANDREU
2.19071125,41.44419276,METRO,L1,TORRAS I BAGES (Pg. de Torras i Bages)
2.19087253,41.44231402,METRO,L1,TORRAS I BAGES (C. de Palomar)
2.191052095,41.43644254,METRO,L1,SANT ANDREU (Pl. d'Orfila)
2.191106117,41.43781582,METRO,L1,SANT ANDREU (C. de Joan Torres)
2.194358313,41.44897681,METRO,L1,TRINITAT VELLA (Parc de la Trinitat)
2.194386226,41.44954814,METRO,L1,TRINITAT VELLA
2.199665925,41.44990541,METRO,L1,BARÓ DE VIVER
2.200229806,41.45005219,METRO,L1,BARÓ DE VIVER
2.207163189,41.45145348,METRO,L1,SANTA COLOMA
2.207418277,41.45106719,METRO,L1,SANTA COLOMA
2.20799019,41.45191718,METRO,L1,SANTA COLOMA
2.208352471,41.45161292,METRO,L1,SANTA COLOMA
2.217066892,41.45177007,METRO,L1,FONDO
2.217789243,41.45173778,METRO,L1,FONDO
2.21861214,41.45160533,METRO,L1,FONDO
2.21724586,41.44148502,METRO,L10,LLEFIÀ
2.224026748,41.44235585,METRO,L10,LA SALUT
2.234243506,41.44036694,METRO,L10,GORG
2.171019771,41.46256535,METRO,L11,CAN CUIÀS (C. Circumval·lació Montcada)
2.171580937,41.46274731,METRO,L11,CAN CUIÀS
2.172142107,41.46292928,METRO,L11,CAN CUIÀS (C. Tapissers Montcada)
2.174475791,41.46089821,METRO,L11,CIUTAT MERIDIANA (C. Pedraforca)
2.179122091,41.4596332,METRO,L11,TORRE BARÓ VALLBONA (C. Sant Feliu de Codines)
2.179852355,41.45941836,METRO,L11,TORRE BARÓ VALLBONA
2.180582626,41.45920352,METRO,L11,TORRE BARÓ VALLBONA (C. Esculapi Càncer)
2.18539381,41.45150175,METRO,L11,CASA DE L'AIGUA (C. Vila Real)
2.16290384,41.3791691,METRO,L2,SANT ANTONI (C. Comte d'Urgell)
2.163017741,41.37996246,METRO,L2,SANT ANTONI
2.163174974,41.38069881,METRO,L2,SANT ANTONI (C. de Villarroel)
2.163254343,41.38502493,METRO,L2,UNIVERSITAT
2.163411208,41.37899923,METRO,L2,SANT ANTONI (Rda. Sant Antoni)
2.163683631,41.38452306,METRO,L2,UNIVERSITAT (Rda. de Sant Antoni)
2.163701651,41.38503015,METRO,L2,UNIVERSITAT (C. d'Aribau)
2.164142957,41.38485309,METRO,L2,UNIVERSITAT (Rda. de Sant Antoni)
2.167581432,41.37510069,METRO,L2,PARAL·LEL
2.167767234,41.37480552,METRO,L2,PARAL·LEL (C. d'en Fontrodona)
2.167764761,41.3892931,METRO,L2,PASSEIG DE GRÀCIA (Gv. Corts Catalanes)
2.168231115,41.37524079,METRO,L2,PARAL·LEL (Av. de Paral.lel)
2.168332839,41.38954251,METRO,L2,PASSEIG DE GRÀCIA
2.168737839,41.38930443,METRO,L2,PASSEIG DE GRÀCIA (Pg. de Gràcia)
2.174593393,41.39463371,METRO,L2,TETUAN
2.174678257,41.394965,METRO,L2,TETUAN (Pl. de Tetuan)
2.175487774,41.39429471,METRO,L2,TETUAN (Pl. de Tetuan)
2.175564696,41.4038567,METRO,L2,SAGRADA FAMÍLIA (Pl. de Gaudí)
2.176317671,41.40426619,METRO,L2,SAGRADA FAMÍLIA
2.179583536,41.4001892,METRO,L2,MONUMENTAL (C. de la Marina)
2.180024458,41.40034064,METRO,L2,MONUMENTAL (C. de la Diputació)
2.180039956,41.4000965,METRO,L2,MONUMENTAL
2.182169721,41.40728048,METRO,L2,ENCANTS (C. del Dos de Maig)
2.18256002,41.4073477,METRO,L2,ENCANTS
2.182804132,41.40707773,METRO,L2,ENCANTS (C. de València)
2.186175339,41.41012662,METRO,L2,CLOT (C. de Sibelius)
2.186557004,41.41010979,METRO,L2,CLOT
2.195015157,41.41529209,METRO,L2,BAC DE RODA
2.195094897,41.41480838,METRO,L2,BAC DE RODA (Rambla Guipúscoa)
2.19618183,41.41560386,METRO,L2,BAC DE RODA (Rambla Guipúscoa)
2.200097571,41.41861325,METRO,L2,SANT MARTÍ (Rambla Guipúscoa)
2.200603659,41.41931558,METRO,L2,SANT MARTÍ
2.201264373,41.4194682,METRO,L2,SANT MARTÍ (Rambla Guipúscoa)
2.206691648,41.42383621,METRO,L2,LA PAU
2.209634906,41.43030888,METRO,L2,VERNEDA
2.209906221,41.43006554,METRO,L2,VERNEDA
2.210272373,41.42994451,METRO,L2,VERNEDA
2.216805053,41.4338885,METRO,L2,ARTIGUES SANT ADRIÀ
2.217243444,41.43382546,METRO,L2,ARTIGUES SANT ADRIÀ
2.217373559,41.43351349,METRO,L2,ARTIGUES SANT ADRIÀ
2.227786668,41.43552559,METRO,L2,SANT ROC
2.228149034,41.43535116,METRO,L2,SANT ROC
2.22850433,41.43587765,METRO,L2,SANT ROC
2.233990919,41.4412997,METRO,L2,GORG
2.234042999,41.44064853,METRO,L2,GORG
2.234257848,41.44112233,METRO,L2,GORG
2.238212552,41.44460061,METRO,L2,PEP VENTURA
2.238367234,41.44515906,METRO,L2,PEP VENTURA
2.238944313,41.4445472,METRO,L2,PEP VENTURA
2.239148279,41.445304,METRO,L2,PEP VENTURA
2.244211818,41.44914171,METRO,L2,BADALONA POMPEU FABRA
2.205989071,41.42348062,METRO,"L2,L4",LA PAU (L2 i L4) (Rambla de Guipúscoa)
2.110403174,41.38414792,METRO,L3,ZONA UNIVERSITÀRIA
2.111623209,41.38464835,METRO,L3,ZONA UNIVERSITÀRIA (Av. Diagonal)
2.111706198,41.38421783,METRO,L3,ZONA UNIVERSITÀRIA (Av. Diagonal)
2.117872085,41.38612574,METRO,L3,PALAU REIAL (Av. Diagonal)
2.117875124,41.38591507,METRO,L3,PALAU REIAL
2.118015286,41.38581759,METRO,L3,PALAU REIAL (Av. Diagonal)
2.126138026,41.38827013,METRO,L3,MARIA CRISTINA (Av. Diagonal)
2.126306576,41.38821373,METRO,L3,MARIA CRISTINA
2.126497279,41.3879418,METRO,L3,MARIA CRISTINA (Av. Diagonal)
2.127859263,41.38836633,METRO,L3,MARIA CRISTINA (Pl. de la Reina Maria Cristina)
2.130680999,41.38424258,METRO,L3,LES CORTS (Travessera de les Corts)
2.130849999,41.38397974,METRO,L3,LES CORTS (C. de Joan Güell)
2.13139176,41.38455432,METRO,L3,LES CORTS
2.136212847,41.38218562,METRO,L3,PLAÇA DEL CENTRE (Pl. del Centre)
2.136551765,41.38268202,METRO,L3,PLAÇA DEL CENTRE
2.139889352,41.38198833,METRO,L3,SANTS ESTACIÓ (C. d'Enric Bargés)
2.140544441,41.38230709,METRO,L3,SANTS ESTACIÓ (Jardins de Màlaga)
2.140753189,41.41797288,METRO,L3,PENITENTS
2.140981328,41.41721408,METRO,L3,PENITENTS (C. d'Anna Piferrer)
2.140980734,41.41770052,METRO,L3,PENITENTS (Av. de l'Hospital Militar)
2.1415147,41.3815315,METRO,L3,SANTS ESTACIÓ
2.14160542,41.38086697,METRO,L3,SANTS ESTACIÓ (C. de Numància)
2.1420218,41.38116653,METRO,L3,SANTS ESTACIÓ (Av. de Josep Tarradellas)
2.142550072,41.42527137,METRO,L3,VALL D'HEBRON
2.144458573,41.37886153,METRO,L3,TARRAGONA (C. del Elisi)
2.145227698,41.37881461,METRO,L3,TARRAGONA (C. de Tarragona)
2.144800964,41.41176203,METRO,L3,VALLCARCA (Av. de l'Hospital Militar)
2.144556385,41.43063664,METRO,L3,MONTBAU (Jardins de Pedro Muñoz Seca)
2.144865909,41.41147014,METRO,L3,VALLCARCA (Jardins Manuel Blancafort)
2.145438346,41.37807332,METRO,L3,TARRAGONA (C. Sant Nicolau)
2.145480927,41.37857428,METRO,L3,TARRAGONA
2.145087117,41.41141065,METRO,L3,VALLCARCA
2.145193251,41.430856,METRO,L3,MONTBAU
2.145259743,41.43056984,METRO,L3,MONTBAU (Ronda de Dalt)
2.146054247,41.37825862,METRO,L3,TARRAGONA (C. d'Aragó)
2.147017523,41.43544131,METRO,L3,MUNDET (Llars Mundet Velòdrom)
2.147498125,41.4352445,METRO,L3,MUNDET
2.147801084,41.43486427,METRO,L3,MUNDET (Can Marcet)
2.149093129,41.37430034,METRO,L3,ESPANYA (Pl. d'Espanya)
2.148559274,41.43533444,METRO,L3,MUNDET (Can Marcet)
2.149831636,41.37452226,METRO,L3,ESPANYA (Av. de la Reina Maria Cristina)
2.149574602,41.40611988,METRO,L3,LESSEPS (Rda. Gral. Mitre)
2.150031392,41.37537212,METRO,L3,ESPANYA (Gv. Corts Catalanes)
2.150173745,41.37483537,METRO,L3,ESPANYA (Av. del Paral.lel)
2.15030346,41.3751694,METRO,L3,ESPANYA
2.150393892,41.40660881,METRO,L3,LESSEPS
2.152801078,41.40260652,METRO,L3,FONTANA (C. Gran de Gràcia)
2.152817524,41.40230654,METRO,L3,FONTANA
2.15639432,41.43758,METRO,L3,VALLDAURA
2.157008748,41.43813745,METRO,L3,VALLDAURA
2.158824145,41.37522942,METRO,L3,POBLE SEC (C. de Manso)
2.158938852,41.37487917,METRO,L3,POBLE SEC (Av. del Paral.lel)
2.159882153,41.37515627,METRO,L3,POBLE SEC
2.159715513,41.39611923,METRO,L3,DIAGONAL (Pl. Joan Carles I)
2.160124672,41.39632466,METRO,L3,DIAGONAL (Av. Diagonal)
2.160475947,41.39576432,METRO,L3,DIAGONAL
2.160501287,41.39543119,METRO,L3,DIAGONAL (Pg. de Gràcia)
